学校名称,经度_GCJ02,纬度_GCJ02,公园名称,公园类型,公园经度,公园纬度,直线距离_米,步行距离_米,步行时间_秒,是否500m内
上地实验小学,116.313971,40.031455,幸福花园,风景名胜;公园广场;公园,116.309433,40.029881,424,756,605,是
上地实验小学,116.313971,40.031455,上地公园,风景名胜;公园广场;公园,116.310318,40.035061,508,797,638,否
上地实验小学,116.313971,40.031455,爱之园,风景名胜;公园广场;公园,116.320138,40.030581,534,1102,882,否
上地实验小学,116.313971,40.031455,美和园公园,风景名胜;公园广场;公园,116.323264,40.035240,897,1811,1449,否
上地实验小学,116.313971,40.031455,树村公园,风景名胜;公园广场;公园,116.304488,40.026141,1001,1628,1302,否
中关村第三小学（红山校区）,116.264858,40.017058,口袋公园,风景名胜;公园广场;公园,116.266863,40.015384,252,230,184,是
中关村第三小学（红山校区）,116.264858,40.017058,水上公园(不对外开放),风景名胜;公园广场;公园,116.261701,40.020401,459,948,758,是
中关村第三小学（红山校区）,116.264858,40.017058,清河滨水绿廊-清河之源,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜,116.271614,40.010245,952,1172,938,否
中关村第三小学（红山校区）,116.264858,40.017058,百旺绿地公园,风景名胜;公园广场;公园,116.266751,40.027683,1193,1293,1034,否
中关村第三小学（红山校区）,116.264858,40.017058,功德寺公园,风景名胜;公园广场;公园,116.257439,40.002505,1739,2771,2217,否
中关村第二小学(百旺校区),116.268738,40.047617,德馨园,风景名胜;公园广场;公园,116.264822,40.044055,518,1438,1150,否
中关村第二小学(百旺校区),116.268738,40.047617,中关村软件园体育公园,风景名胜;公园广场;公园,116.277301,40.049545,760,952,762,否
中关村第二小学(百旺校区),116.268738,40.047617,百旺公园,风景名胜;公园广场;公园,116.257461,40.044152,1035,1784,1427,否
中关村第二小学(百旺校区),116.268738,40.047617,北京觅特体育公园,风景名胜;公园广场;公园,116.260523,40.039568,1137,2412,1930,否
中关村第二小学(百旺校区),116.268738,40.047617,中关村公园西区,风景名胜;公园广场;公园,116.267958,40.058988,1267,1766,1413,否
中国人民大学附属中学翠微学校(小学部),116.299958,39.914853,翠微烟雨公园,风景名胜;公园广场;公园,116.300498,39.917287,274,361,289,是
中国人民大学附属中学翠微学校(小学部),116.299958,39.914853,中塔公园西院,风景名胜;公园广场;公园,116.303463,39.918030,463,2203,1762,是
中国人民大学附属中学翠微学校(小学部),116.299958,39.914853,滨角园口袋公园,风景名胜;公园广场;公园,116.296682,39.919267,565,722,578,否
中国人民大学附属中学翠微学校(小学部),116.299958,39.914853,定慧公园怡静园,风景名胜;公园广场;公园,116.295728,39.919387,620,723,578,否
中国人民大学附属中学翠微学校(小学部),116.299958,39.914853,小天鹅公园,风景名胜;公园广场;公园,116.309335,39.913179,822,1086,869,否
中国农业科学院附属小学（气象路校区）,116.336473,39.946938,北京交通大学劳动花园,风景名胜;公园广场;公园,116.340985,39.950822,579,945,756,否
中国农业科学院附属小学（气象路校区）,116.336473,39.946938,五塔寺公园,风景名胜;公园广场;公园,116.329587,39.943299,713,949,759,否
中国农业科学院附属小学（气象路校区）,116.336473,39.946938,北京交通大学芳华园,风景名胜;公园广场;公园,116.343578,39.951291,776,1036,829,否
中国农业科学院附属小学（气象路校区）,116.336473,39.946938,铁科院宿舍区中心花园,风景名胜;公园广场;公园,116.342474,39.956124,1143,2440,1952,否
中国农业科学院附属小学（气象路校区）,116.336473,39.946938,南长河公园,风景名胜;公园广场;公园,116.350912,39.943514,1289,1411,1129,否
人大附中实验小学,116.321476,39.974705,知春公园,风景名胜;公园广场;公园,116.325896,39.974074,383,743,594,是
人大附中实验小学,116.321476,39.974705,双榆树公园,风景名胜;公园广场;公园,116.324810,39.970456,551,882,706,否
人大附中实验小学,116.321476,39.974705,院士公园,风景名胜;公园广场;公园,116.327133,39.981181,867,1325,1060,否
人大附中实验小学,116.321476,39.974705,中国人民大学中关村校区牡丹苑,风景名胜;公园广场;公园,116.310732,39.971517,982,1576,1261,否
人大附中实验小学,116.321476,39.974705,中国人民大学中关村校区桃李园,风景名胜;公园广场;公园,116.310031,39.972052,1020,1514,1211,否
北京医科大学附属小学（牡丹园校区）,116.377293,39.977723,小公园(龙翔路),风景名胜;公园广场;公园,116.375724,39.981235,413,1111,889,是
北京医科大学附属小学（牡丹园校区）,116.377293,39.977723,马甸公园儿童区,风景名胜;公园广场;公园,116.379766,39.973625,502,860,688,否
北京医科大学附属小学（牡丹园校区）,116.377293,39.977723,祁家豁子城市森林公园,风景名胜;公园广场;公园,116.379037,39.982406,542,1048,838,否
北京医科大学附属小学（牡丹园校区）,116.377293,39.977723,北极寺公园,风景名胜;公园广场;公园,116.377065,39.985717,890,1600,1280,否
北京医科大学附属小学（牡丹园校区）,116.377293,39.977723,玫瑰公园,风景名胜;公园广场;公园,116.381903,39.970333,911,1381,1105,否
北京大学附属小学,116.319123,39.995024,清华大学绿园,风景名胜;公园广场;公园,116.318125,40.000783,646,1373,1098,否
北京大学附属小学,116.319123,39.995024,北京大学朗润园,风景名胜;公园广场;公园,116.309887,39.998030,855,1761,1409,否
北京大学附属小学,116.319123,39.995024,西水磨公园,风景名胜;公园广场;公园,116.314455,40.003106,983,1703,1362,否
北京大学附属小学,116.319123,39.995024,中海体育公园,风景名胜;公园广场;公园,116.315203,39.986339,1023,1694,1355,否
北京大学附属小学,116.319123,39.995024,北京大学鸣鹤园,风景名胜;公园广场;公园,116.305312,39.995300,1178,2017,1614,否
北京实验学校海淀校区（小学部）,116.330998,39.925376,阜成路口袋公园,风景名胜;公园广场;公园,116.321550,39.924017,820,1184,947,否
北京实验学校海淀校区（小学部）,116.330998,39.925376,东湖湿地公园,风景名胜;公园广场;公园,116.325844,39.918313,900,2681,2145,否
北京实验学校海淀校区（小学部）,116.330998,39.925376,玉渊潭公园-樱落花谷,风景名胜;公园广场;公园,116.321175,39.914275,1493,2711,2169,否
北京实验学校海淀校区（小学部）,116.330998,39.925376,北营房城市森林公园,风景名胜;公园广场;公园,116.348483,39.924000,1500,1801,1441,否
北京实验学校海淀校区（小学部）,116.330998,39.925376,玉渊潭牡丹园,风景名胜;公园广场;公园,116.320914,39.914138,1518,2798,2238,否
北京市海淀区第三实验小学（北校区）,116.340977,39.994004,京张铁路遗址公园,风景名胜;公园广场;公园,116.338277,39.991769,339,414,331,是
北京市海淀区第三实验小学（北校区）,116.340977,39.994004,樱花园,风景名胜;公园广场;公园,116.346506,39.993888,471,963,770,是
北京市海淀区第三实验小学（北校区）,116.340977,39.994004,互动轨道花园,风景名胜;公园广场;公园,116.337828,40.000202,740,940,752,否
北京市海淀区第三实验小学（北校区）,116.340977,39.994004,清华东路带状公园,风景名胜;公园广场;公园,116.346842,40.000486,877,1334,1067,否
北京市海淀区第三实验小学（北校区）,116.340977,39.994004,清华东路带状公园-东王庄小区公园,风景名胜;公园广场;公园,116.346826,40.000503,878,1333,1066,否
北京教育学院附属海淀实验小学,116.244230,39.931507,海淀区田村城市休闲公园,风景名胜;公园广场;公园,116.243314,39.934853,380,1732,1386,是
北京教育学院附属海淀实验小学,116.244230,39.931507,什坊园公园,风景名胜;公园广场;公园,116.236808,39.930816,638,1212,970,否
北京教育学院附属海淀实验小学,116.244230,39.931507,一河十园汽车公园,风景名胜;公园广场;公园,116.245984,39.938701,814,1389,1111,否
北京教育学院附属海淀实验小学,116.244230,39.931507,阜石路南侧绿地公园西区,风景名胜;公园广场;公园,116.256620,39.924045,1344,1730,1384,否
北京教育学院附属海淀实验小学,116.244230,39.931507,口袋公园,风景名胜;公园广场;公园,116.260047,39.929446,1369,1635,1308,否
北京林业大学附属实验小学,116.340259,40.015485,东升八家郊野公园南区,风景名胜;公园广场;公园,116.336020,40.014339,383,561,449,是
北京林业大学附属实验小学,116.340259,40.015485,逸成体育公园,风景名胜;公园广场;公园,116.345283,40.013625,475,843,674,是
北京林业大学附属实验小学,116.340259,40.015485,东升八家郊野公园,风景名胜;公园广场;公园,116.336864,40.019354,518,876,701,否
北京林业大学附属实验小学,116.340259,40.015485,八家口袋公园,风景名胜;公园广场;公园,116.345353,40.018421,543,946,757,否
北京林业大学附属实验小学,116.340259,40.015485,东升八家郊野公园东区,风景名胜;公园广场;公园,116.340734,40.020488,558,1176,941,否
北京林业大学附属小学,116.348464,40.004573,清华东路带状公园-东王庄小区公园,风景名胜;公园广场;公园,116.346826,40.000503,474,1040,832,是
北京林业大学附属小学,116.348464,40.004573,清华东路带状公园,风景名胜;公园广场;公园,116.346842,40.000486,475,1041,833,是
北京林业大学附属小学,116.348464,40.004573,互动轨道花园,风景名胜;公园广场;公园,116.337828,40.000202,1029,1296,1037,否
北京林业大学附属小学,116.348464,40.004573,逸成体育公园,风景名胜;公园广场;公园,116.345283,40.013625,1043,1841,1473,否
北京林业大学附属小学,116.348464,40.004573,北语万国驿文明互鉴列车主题文化公园,风景名胜;公园广场;公园,116.352732,39.995278,1096,1699,1359,否
北京海淀凯文学校,116.242636,39.953598,黑塔公园,风景名胜;公园广场;公园,116.244495,39.956190,329,1255,1004,是
北京海淀凯文学校,116.242636,39.953598,西山公园,风景名胜;公园广场;公园,116.239286,39.947119,775,1315,1052,否
