学校名称,经度_WGS84,纬度_WGS84,经度_GCJ02,纬度_GCJ02,500m内公园数量,500m内公园名称,最近公园名称,最近公园步行距离_米,最近公园步行时间_秒,校内绿地率,外围绿地率,总体绿地率,所属类别
上地实验小学,116.307866,40.030176,116.313971,40.031455,1,幸福花园,幸福花园,756,605,38.30%,34.50%,35.30%,校内高_外围高
中关村第三小学（红山校区）,116.258815,40.015837,116.264858,40.017058,2,口袋公园; 水上公园(不对外开放),口袋公园,230,184,30.80%,43.50%,41.70%,校内高_外围高
中关村第二小学(百旺校区),116.262691,40.046392,116.268738,40.047617,0,,中关村软件园体育公园,952,762,37.30%,36.10%,36.80%,校内高_外围高
中国人民大学附属中学翠微学校(小学部),116.293894,39.913602,116.299958,39.914853,2,翠微烟雨公园; 中塔公园西院,翠微烟雨公园,361,289,32.00%,32.10%,32.30%,校内高_外围高
中国农业科学院附属小学（气象路校区）,116.330329,39.94562,116.336473,39.946938,0,,北京交通大学劳动花园,945,756,39.80%,33.70%,34.50%,校内高_外围高
人大附中实验小学,116.315362,39.973415,116.321476,39.974705,1,知春公园,知春公园,743,594,39.90%,31.70%,32.90%,校内高_外围高
北京医科大学附属小学（牡丹园校区）,116.371064,39.976337,116.377293,39.977723,1,小公园(龙翔路),马甸公园儿童区,860,688,45.20%,29.30%,31.20%,校内高_外围高
北京大学附属小学,116.313012,39.993738,116.319123,39.995024,0,,清华大学绿园,1373,1098,40.50%,42.60%,42.50%,校内高_外围高
北京实验学校海淀校区（小学部）,116.324869,39.92407,116.330998,39.925376,0,,阜成路口袋公园,1184,947,34.40%,28.70%,29.70%,校内高_外围高
北京市海淀区第三实验小学（北校区）,116.334817,39.992676,116.340977,39.994004,2,京张铁路遗址公园; 樱花园,京张铁路遗址公园,414,331,37.20%,29.40%,30.00%,校内高_外围高
北京教育学院附属海淀实验小学,116.238191,39.930288,116.24423,39.931507,1,海淀区田村城市休闲公园,什坊园公园,1212,970,40.50%,46.80%,46.20%,校内高_外围高
北京林业大学附属实验小学,116.334097,40.014157,116.340259,40.015485,2,东升八家郊野公园南区; 逸成体育公园,东升八家郊野公园南区,561,449,33.70%,37.00%,36.80%,校内高_外围高
北京林业大学附属小学,116.342286,40.003231,116.348464,40.004573,2,清华东路带状公园-东王庄小区公园; 清华东路带状公园,清华东路带状公园-东王庄小区公园,1040,832,46.90%,37.10%,38.20%,校内高_外围高
北京海淀凯文学校,116.236592,39.952377,116.242636,39.953598,1,黑塔公园,黑塔公园,1255,1004,64.50%,56.60%,60.90%,校内高_外围高
北京石油学院附属实验小学,116.369731,40.032797,116.375966,40.034185,0,,东升文体公园,972,778,37.00%,34.40%,35.20%,校内高_外围高
