学校名称,经度,纬度,校内绿地率,外围绿地率,总体绿地率,所属类别
上地实验小学,116.30786628210703,40.030175818885674,38.30%,34.50%,35.30%,校内高_外围高
中关村第三小学（红山校区）,116.25881529663428,40.01583657753876,30.80%,43.50%,41.70%,校内高_外围高
中关村第二小学(百旺校区),116.26269101475827,40.046391831386515,37.30%,36.10%,36.80%,校内高_外围高
中国人民大学附属中学翠微学校(小学部),116.29389392112974,39.91360198592756,32.00%,32.10%,32.30%,校内高_外围高
中国农业科学院附属小学（气象路校区）,116.33032883577938,39.94562028696225,39.80%,33.70%,34.50%,校内高_外围高
人大附中实验小学,116.31536231034522,39.973415310054676,39.90%,31.70%,32.90%,校内高_外围高
北京医科大学附属小学（牡丹园校区）,116.37106374346243,39.976336895397836,45.20%,29.30%,31.20%,校内高_外围高
北京大学附属小学,116.31301221481714,39.99373769576265,40.50%,42.60%,42.50%,校内高_外围高
北京实验学校海淀校区（小学部）,116.32486894143081,39.92406956419268,34.40%,28.70%,29.70%,校内高_外围高
北京市海淀区第三实验小学（北校区）,116.33481720000813,39.99267605112657,37.20%,29.40%,30.00%,校内高_外围高
北京教育学院附属海淀实验小学,116.2381909752573,39.93028821701812,40.50%,46.80%,46.20%,校内高_外围高
北京林业大学附属实验小学,116.33409748127175,40.014157159134854,33.70%,37.00%,36.80%,校内高_外围高
北京林业大学附属小学,116.34228602556546,40.00323089491147,46.90%,37.10%,38.20%,校内高_外围高
北京海淀凯文学校,116.23659237905866,39.952377080882584,64.50%,56.60%,60.90%,校内高_外围高
北京石油学院附属实验小学,116.36973125926596,40.03279749033632,37.00%,34.40%,35.20%,校内高_外围高
北京石油学院附属小学（南校区）,116.36109338539826,39.987524210054566,32.50%,34.30%,34.30%,校内高_外围高
北京石油学院附属第二实验小学,116.37200543732685,40.03433516783976,38.40%,75.80%,70.00%,校内高_外围高
北航实验学校小学部,116.3430548096718,39.97642984050277,31.00%,29.90%,30.20%,校内高_外围高
和平小学,116.19924378871202,40.03521146685888,36.90%,52.00%,50.10%,校内高_外围高
海淀区万泉小学（曙光分校）,116.28513922306676,39.944776332461885,33.40%,38.30%,37.80%,校内高_外围高
海淀区上地实验小学树村校区,116.28845228062524,40.03078014339281,31.90%,33.30%,33.30%,校内高_外围高
海淀区东北旺中心小学,116.2721987584823,40.02881586478263,33.60%,30.20%,31.10%,校内高_外围高
海淀区中关村第一小学,116.31617322336555,39.98229053432539,45.60%,32.70%,34.80%,校内高_外围高
海淀区中关村第一小学（党校校区）,116.26979215009881,40.01509329659935,33.50%,40.40%,39.80%,校内高_外围高
海淀区中关村第四小学,116.33350309702845,39.96805983988476,33.40%,44.10%,42.90%,校内高_外围高
海淀区五一小学,116.25734194271918,39.9001109416703,33.10%,35.80%,35.40%,校内高_外围高
海淀区六一小学,116.28101611364065,39.9272935915003,46.30%,46.50%,46.70%,校内高_外围高
海淀区前进小学,116.35377404150896,39.97296892512179,33.70%,34.80%,34.80%,校内高_外围高
海淀区双榆树中心小学,116.31743750910277,39.967613358266185,35.40%,28.60%,29.30%,校内高_外围高
海淀区四王府小学,116.20970171947708,39.99654313917952,32.60%,65.60%,62.20%,校内高_外围高
海淀区培英小学,116.27117114457772,39.89838696774916,31.00%,31.90%,31.90%,校内高_外围高
海淀区实验小学（北洼路校区）,116.29499719729957,39.9404578894,37.70%,32.80%,33.40%,校内高_外围高
海淀区崛起实验学校,116.28717437666553,40.03068602746615,34.20%,37.30%,37.10%,校内高_外围高
海淀区教师进修学校附属实验小学（西冉校区）,116.25263331834354,39.953982450546725,41.60%,59.80%,58.50%,校内高_外围高
海淀区教师进修学校附属小学,116.22871234354058,39.954956330480385,32.50%,28.40%,29.20%,校内高_外围高
海淀区永丰中心小学,116.23603274114144,40.06640858039077,38.40%,46.00%,45.00%,校内高_外围高
海淀区清河第四小学,116.36527312290644,40.064062808212434,52.40%,43.60%,45.10%,校内高_外围高
海淀区科技园小学大牛坊校区,116.23447771145837,40.066103210303936,45.70%,39.50%,41.50%,校内高_外围高
海淀区科技园小学（西玉河校区）,116.23185638343344,40.094190378599606,51.10%,39.20%,40.50%,校内高_外围高
海淀区第二实验小学（当代校区）,116.31206028986053,40.042668809144246,35.00%,48.80%,47.90%,校内高_外围高
海淀区第四实验小学,116.20425661761726,39.97069213746086,33.30%,45.10%,43.20%,校内高_外围高
海淀区翠微小学（东校区）,116.30695218871843,39.909768415775744,31.00%,43.00%,42.30%,校内高_外围高
海淀区翠微小学（北校区）,116.15432185882375,40.05279731583407,33.50%,35.40%,35.40%,校内高_外围高
海淀区花园村第二小学,116.31256066190913,39.930015259696624,35.30%,36.10%,36.20%,校内高_外围高
清华大学附属中学上地小学,116.31552762837681,40.01546520915452,31.30%,33.50%,33.50%,校内高_外围高
清华大学附属小学,116.31695875815696,39.994410985595344,36.50%,46.60%,44.60%,校内高_外围高
清华大学附属小学双清苑校区,116.33547262187335,40.00874520996228,35.90%,43.30%,42.10%,校内高_外围高
首都师范大学附属育新学校小学部,116.34040788228425,40.05650022807867,36.10%,38.60%,38.40%,校内高_外围高
