分类,学校名称,校内绿地率,外围绿地率,总体绿地率
校内高_外围高,上地实验小学,38.30%,34.50%,35.30%
校内高_外围高,中关村第三小学（红山校区）,30.80%,43.50%,41.70%
校内高_外围高,中关村第二小学(百旺校区),37.30%,36.10%,36.80%
校内高_外围高,中国人民大学附属中学翠微学校(小学部),32.00%,32.10%,32.30%
校内高_外围高,中国农业科学院附属小学（气象路校区）,39.80%,33.70%,34.50%
校内高_外围高,人大附中实验小学,39.90%,31.70%,32.90%
校内高_外围高,北京医科大学附属小学（牡丹园校区）,45.20%,29.30%,31.20%
校内高_外围高,北京大学附属小学,40.50%,42.60%,42.50%
校内高_外围高,北京实验学校海淀校区（小学部）,34.40%,28.70%,29.70%
校内高_外围高,北京市海淀区第三实验小学（北校区）,37.20%,29.40%,30.00%
校内高_外围高,北京教育学院附属海淀实验小学,40.50%,46.80%,46.20%
校内高_外围高,北京林业大学附属实验小学,33.70%,37.00%,36.80%
校内高_外围高,北京林业大学附属小学,46.90%,37.10%,38.20%
校内高_外围高,北京海淀凯文学校,64.50%,56.60%,60.90%
校内高_外围高,北京石油学院附属实验小学,37.00%,34.40%,35.20%
校内高_外围高,北京石油学院附属小学（南校区）,32.50%,34.30%,34.30%
校内高_外围高,北京石油学院附属第二实验小学,38.40%,75.80%,70.00%
校内高_外围高,北航实验学校小学部,31.00%,29.90%,30.20%
校内高_外围高,和平小学,36.90%,52.00%,50.10%
校内高_外围高,海淀区万泉小学（曙光分校）,33.40%,38.30%,37.80%
校内高_外围高,海淀区上地实验小学树村校区,31.90%,33.30%,33.30%
校内高_外围高,海淀区东北旺中心小学,33.60%,30.20%,31.10%
校内高_外围高,海淀区中关村第一小学,45.60%,32.70%,34.80%
校内高_外围高,海淀区中关村第一小学（党校校区）,33.50%,40.40%,39.80%
校内高_外围高,海淀区中关村第四小学,33.40%,44.10%,42.90%
校内高_外围高,海淀区五一小学,33.10%,35.80%,35.40%
校内高_外围高,海淀区六一小学,46.30%,46.50%,46.70%
校内高_外围高,海淀区前进小学,33.70%,34.80%,34.80%
校内高_外围高,海淀区双榆树中心小学,35.40%,28.60%,29.30%
校内高_外围高,海淀区四王府小学,32.60%,65.60%,62.20%
校内高_外围高,海淀区培英小学,31.00%,31.90%,31.90%
校内高_外围高,海淀区实验小学（北洼路校区）,37.70%,32.80%,33.40%
校内高_外围高,海淀区崛起实验学校,34.20%,37.30%,37.10%
校内高_外围高,海淀区教师进修学校附属实验小学（西冉校区）,41.60%,59.80%,58.50%
校内高_外围高,海淀区教师进修学校附属小学,32.50%,28.40%,29.20%
校内高_外围高,海淀区永丰中心小学,38.40%,46.00%,45.00%
校内高_外围高,海淀区清河第四小学,52.40%,43.60%,45.10%
校内高_外围高,海淀区科技园小学大牛坊校区,45.70%,39.50%,41.50%
校内高_外围高,海淀区科技园小学（西玉河校区）,51.10%,39.20%,40.50%
校内高_外围高,海淀区第二实验小学（当代校区）,35.00%,48.80%,47.90%
校内高_外围高,海淀区第四实验小学,33.30%,45.10%,43.20%
校内高_外围高,海淀区翠微小学（东校区）,31.00%,43.00%,42.30%
校内高_外围高,海淀区翠微小学（北校区）,33.50%,35.40%,35.40%
校内高_外围高,海淀区花园村第二小学,35.30%,36.10%,36.20%
校内高_外围高,清华大学附属中学上地小学,31.30%,33.50%,33.50%
校内高_外围高,清华大学附属小学,36.50%,46.60%,44.60%
校内高_外围高,清华大学附属小学双清苑校区,35.90%,43.30%,42.10%
校内高_外围高,首都师范大学附属育新学校小学部,36.10%,38.60%,38.40%
校内高_外围低,中关村第一小学（天秀校区）,31.90%,27.40%,28.40%
校内高_外围低,中关村第二小学科学城北区分校,34.50%,25.70%,27.20%
校内高_外围低,中国人民大学附属小学亮甲店分校（东校区）,30.90%,22.20%,23.10%
校内高_外围低,中国农业科学院附属小学（学院南路校区）,41.70%,22.50%,24.40%
校内高_外围低,五一小学(欧洲公馆校区),43.40%,25.20%,28.70%
校内高_外围低,北京市八一学校小学部,33.80%,25.00%,25.20%
校内高_外围低,北京市海淀区台头小学,42.70%,10.70%,18.60%
校内高_外围低,北京建筑大学附属小学,43.70%,27.80%,29.00%
校内高_外围低,北京理工大学附属小学,48.60%,18.50%,21.70%
校内高_外围低,海淀区中关村第二小学华清校区,35.80%,23.70%,25.80%
校内高_外围低,海淀区星火小学,33.00%,21.70%,22.80%
校内高_外围低,海淀区民族小学（北校区）,52.70%,14.50%,18.00%
校内高_外围低,海淀区民族小学（南校区）,40.40%,21.60%,25.00%
校内高_外围低,海淀区第三实验小学（南校区）,55.70%,24.50%,28.40%
校内高_外围低,海淀区第二实验小学（清宁校区）,36.00%,26.50%,27.70%
校内高_外围低,海淀区翠微小学（白家疃校区）,43.80%,20.60%,22.40%
校内高_外围低,海淀区西苑小学,40.00%,17.80%,20.50%
校内高_外围低,海淀区西颐小学,30.70%,21.00%,22.00%
校内高_外围低,首都师范大学附属小学,34.60%,18.10%,21.90%
校内低_外围高,中关村第一小学西二旗分校,26.40%,37.90%,36.60%
校内低_外围高,中国人民大学附属小学,8.50%,47.10%,38.80%
校内低_外围高,中国人民大学附属小学亮甲店分校（西校区）,22.90%,38.50%,37.50%
校内低_外围高,中国农业大学附属实验小学,15.50%,44.90%,42.10%
校内低_外围高,中国农业科学院附属小学（农科院校区）,20.30%,35.30%,33.90%
校内低_外围高,北京交通大学附属小学（北校区）,28.00%,33.10%,32.90%
校内低_外围高,北京医科大学附属小学（花园路校区）,24.60%,31.00%,30.60%
校内低_外围高,北京外国语大学附属小学（魏公村校区）,21.60%,32.40%,31.70%
校内低_外围高,北京大学附属小学（肖家河分校）,23.90%,40.80%,38.60%
校内低_外围高,北京市海淀区万泉小学（北校区）,20.60%,28.80%,27.70%
校内低_外围高,北京石油学院附属小学,24.20%,35.20%,34.10%
校内低_外围高,北京石油学院附属小学（东校区）,23.70%,37.10%,35.10%
校内低_外围高,北京邮电大学附属小学（明光村校区）,20.90%,28.10%,27.70%
校内低_外围高,北师大实验小学,29.70%,29.90%,30.00%
校内低_外围高,海淀区七一小学,23.90%,34.80%,33.00%
校内低_外围高,海淀区中关村第二小学,22.60%,31.60%,30.90%
校内低_外围高,海淀区九一小学,25.20%,32.70%,31.60%
校内低_外围高,海淀区五一小学（北校区）,16.80%,30.50%,28.90%
校内低_外围高,海淀区五一小学（晋分校区）,19.00%,34.60%,32.60%
校内低_外围高,海淀区六郎庄小学,21.50%,30.30%,29.50%
校内低_外围高,海淀区北安河中心小学,19.60%,34.20%,31.50%
校内低_外围高,海淀区双榆树第一小学,14.30%,28.00%,27.00%
校内低_外围高,海淀区和平小学（东埠头校区）（辛庄校区）,16.30%,31.70%,29.50%
校内低_外围高,海淀区培星小学（北校区）,17.10%,43.00%,41.30%
校内低_外围高,海淀区培星小学（南校区）,27.80%,58.80%,55.70%
校内低_外围高,海淀区太平路小学,12.50%,32.50%,29.70%
校内低_外围高,海淀区太平路小学（分校）,21.60%,31.30%,30.80%
校内低_外围高,海淀区学院路小学,28.80%,29.30%,29.40%
校内低_外围高,海淀区定慧里小学,24.20%,33.60%,32.60%
校内低_外围高,海淀区实验小学（花园村校区）,24.20%,31.30%,30.40%
校内低_外围高,海淀区实验小学（苏州街校区）,27.50%,46.20%,43.60%
校内低_外围高,海淀区永丰中心小学（宏丰校区）,27.20%,45.50%,43.20%
校内低_外围高,海淀区玉泉小学,9.50%,30.70%,28.40%
校内低_外围高,海淀区玉泉小学（五里校区）,18.80%,36.10%,34.50%
校内低_外围高,海淀区第二实验小学橡树校区,27.30%,28.10%,28.10%
校内低_外围高,海淀区第二实验小学（汇缘校区）,22.90%,31.40%,30.70%
校内低_外围高,海淀区红英小学（六里屯校区）,25.30%,31.60%,31.10%
校内低_外围高,海淀区红英小学（唐家岭校区）,25.60%,31.20%,30.80%
校内低_外围高,海淀区红英小学（韩家川校区）,18.10%,39.90%,37.90%
校内低_外围高,海淀区翠微小学（西校区）,17.00%,31.50%,30.10%
校内低_外围高,海淀区育鹰小学（东校区）,22.90%,34.60%,33.60%
校内低_外围高,首都师范大学附属小学（柳明校区）,2.10%,51.70%,46.80%
校内低_外围高,香山小学,21.10%,43.40%,41.20%
校内低_外围低,中关村一小科学城分校,22.00%,27.00%,26.30%
校内低_外围低,中关村第二小学（万泉河分校）,10.80%,26.20%,24.70%
校内低_外围低,中国农业大学附属小学,21.50%,26.10%,25.60%
校内低_外围低,中国农业科学院附属小学（政法路校区）,25.90%,27.20%,27.20%
校内低_外围低,人大附中北大附小联合实验学校,29.10%,25.90%,27.20%
校内低_外围低,北京交通大学附属小学（东校区）,14.50%,26.00%,25.00%
校内低_外围低,北京外国语大学附属小学（万寿寺校区）,17.30%,27.00%,26.40%
校内低_外围低,北京市海淀北部新区实验学校（小学部）,26.50%,22.70%,23.50%
校内低_外围低,北京市海淀区万泉小学（小南庄校区）,19.10%,16.00%,16.30%
校内低_外围低,北京理工大学附属中学（小学部）,22.70%,23.20%,23.20%
校内低_外围低,北京邮电大学附属小学（志强校区）,11.50%,27.00%,26.40%
校内低_外围低,北京邮电大学附属小学（文慧园校区）,25.90%,16.00%,17.00%
校内低_外围低,北京邮电大学附属小学（海淀区今典小学）,27.20%,15.70%,17.20%
校内低_外围低,北大附中新馨学校（小学部）,15.70%,21.00%,20.10%
校内低_外围低,和平小学杨家庄校区,25.70%,16.40%,17.80%
校内低_外围低,海淀区上地实验小学（上庄校区）,20.60%,19.50%,19.80%
校内低_外围低,海淀区上庄中心小学（上庄校区）,27.30%,24.20%,24.90%
校内低_外围低,海淀区上庄中心小学（东马坊校区）,29.30%,8.90%,12.20%
