学校名称,校内绿地率,校内有效像素,校内绿色像素,外围绿地率,外围有效像素,外围绿色像素,总体绿地率,总体有效像素,总体绿色像素
上地实验小学,38.3%,4216802,1615915,34.5%,3530754,1217996,35.3%,4165343,1469370
中关村一小科学城分校,22.0%,2735472,601563,27.0%,2830249,765474,26.3%,3446085,905059
中关村第一小学西二旗分校,26.4%,2180483,574576,37.9%,2951722,1118155,36.6%,3354003,1228208
中关村第一小学（天秀校区）,31.9%,2254601,720136,27.4%,2676678,732076,28.4%,3212156,911467
中关村第三小学（红山校区）,30.8%,5888287,1813089,43.5%,3952515,1719993,41.7%,4643827,1938598
中关村第二小学(百旺校区),37.3%,3328222,1241553,36.1%,2709421,978694,36.8%,3691845,1357301
中关村第二小学科学城北区分校,34.5%,2890369,997681,25.7%,3039117,781414,27.2%,3581275,975175
中关村第二小学（万泉河分校）,10.8%,3016575,325328,26.2%,3338522,874932,24.7%,3709269,917937
中国人民大学附属中学翠微学校(小学部),32.0%,2845060,910962,32.1%,3347216,1073712,32.3%,3716226,1198969
中国人民大学附属小学,8.5%,2980606,253208,47.1%,2869206,1350156,38.8%,3661947,1421131
中国人民大学附属小学亮甲店分校（东校区）,30.9%,1858684,574338,22.2%,2979588,660775,23.1%,3274056,757066
中国人民大学附属小学亮甲店分校（西校区）,22.9%,2212792,507337,38.5%,3192581,1228394,37.5%,3451513,1293063
中国农业大学附属实验小学,15.5%,3412367,527881,44.9%,3618741,1625801,42.1%,4015110,1690579
中国农业大学附属小学,21.5%,3617226,778699,26.1%,4069235,1060685,25.6%,4621965,1183973
中国农业科学院附属小学（农科院校区）,20.3%,4561385,927545,35.3%,3884236,1369489,33.9%,4316938,1462813
中国农业科学院附属小学（学院南路校区）,41.7%,3492500,1456766,22.5%,3822475,859166,24.4%,4204436,1026109
中国农业科学院附属小学（政法路校区）,25.9%,3298134,855247,27.2%,3569654,969327,27.2%,3887135,1057760
中国农业科学院附属小学（气象路校区）,39.8%,4832864,1922972,33.7%,4426783,1491095,34.5%,4894336,1686696
五一小学(欧洲公馆校区),43.4%,2588168,1122974,25.2%,2931151,737288,28.7%,3569619,1025286
人大附中北大附小联合实验学校,29.1%,2434978,709448,25.9%,2064384,534648,27.2%,3069447,836186
人大附中实验小学,39.9%,2903945,1158525,31.7%,3209937,1018711,32.9%,3652652,1201783
北京交通大学附属小学（东校区）,14.5%,2992010,433790,26.0%,3444785,896349,25.0%,3803197,952344
北京交通大学附属小学（北校区）,28.0%,2245894,628223,33.1%,3253069,1076358,32.9%,3501377,1150764
北京医科大学附属小学（牡丹园校区）,45.2%,6615560,2992835,29.3%,4345448,1274222,31.2%,4859639,1516306
北京医科大学附属小学（花园路校区）,24.6%,3109225,764615,31.0%,3476412,1078679,30.6%,3817308,1167068
北京外国语大学附属小学（万寿寺校区）,17.3%,4872335,841943,27.0%,3996333,1079286,26.4%,4277140,1130062
北京外国语大学附属小学（魏公村校区）,21.6%,2959571,638637,32.4%,3551145,1151800,31.7%,3837727,1217314
北京大学附属小学,40.5%,3548512,1437568,42.6%,3324187,1417734,42.5%,4275108,1816644
北京大学附属小学（肖家河分校）,23.9%,2196414,524184,40.8%,2941422,1199414,38.6%,3429068,1323427
北京实验学校海淀校区（小学部）,34.4%,1973124,678860,28.7%,2827984,810542,29.7%,3264383,968364
北京市八一学校小学部,33.8%,4996494,1691267,25.0%,4048649,1013095,25.2%,4655006,1173527
北京市海淀北部新区实验学校（小学部）,26.5%,4748342,1258380,22.7%,3629176,824541,23.5%,4378094,1027946
北京市海淀区万泉小学（北校区）,20.6%,3454105,711420,28.8%,3188890,919014,27.7%,3773621,1045119
北京市海淀区万泉小学（小南庄校区）,19.1%,4252237,810308,16.0%,3868482,619345,16.3%,4146646,675879
北京市海淀区台头小学,42.7%,4087923,1744800,10.7%,3291624,351819,18.6%,4336607,807375
北京市海淀区第三实验小学（北校区）,37.2%,4285674,1595081,29.4%,4779941,1405156,30.0%,5107794,1533693
北京建筑大学附属小学,43.7%,3203117,1400134,27.8%,5302282,1471908,29.0%,5705768,1655981
北京教育学院附属海淀实验小学,40.5%,3784294,1531413,46.8%,3852141,1803805,46.2%,4477485,2069900
北京林业大学附属实验小学,33.7%,5391719,1818847,37.0%,4112333,1520610,36.8%,4597762,1689919
北京林业大学附属小学,46.9%,5822418,2731046,37.1%,4114314,1527454,38.2%,4520545,1725787
北京海淀凯文学校,64.5%,3928203,2533534,56.6%,2396718,1357069,60.9%,4418647,2689699
北京理工大学附属中学（小学部）,22.7%,4928771,1118221,23.2%,4140823,960282,23.2%,4597030,1067998
北京理工大学附属小学,48.6%,2085355,1013828,18.5%,2866748,529078,21.7%,3184129,691056
北京石油学院附属实验小学,37.0%,4389303,1621978,34.4%,3495324,1203531,35.2%,4405582,1551348
北京石油学院附属小学,24.2%,3023006,731184,35.2%,3381238,1189591,34.1%,3791820,1293348
北京石油学院附属小学（东校区）,23.7%,2682791,635496,37.1%,3106056,1151026,35.1%,3721405,1305297
北京石油学院附属小学（南校区）,32.5%,3084125,1001810,34.3%,3452375,1185065,34.3%,3764542,1292028
北京石油学院附属第二实验小学,38.4%,2843884,1090751,75.8%,3062942,2320202,70.0%,3656872,2559248
北京邮电大学附属小学（志强校区）,11.5%,2116684,243942,27.0%,3539932,955617,26.4%,3700752,975881
北京邮电大学附属小学（文慧园校区）,25.9%,2548169,659883,16.0%,3243505,518124,17.0%,3576806,608574
北京邮电大学附属小学（明光村校区）,20.9%,5791631,1210531,28.1%,4034150,1132276,27.7%,4300411,1191974
北京邮电大学附属小学（海淀区今典小学）,27.2%,4138087,1124174,15.7%,3653506,573087,17.2%,4159870,716452
北大附中新馨学校（小学部）,15.7%,3058327,480359,21.0%,2987315,627121,20.1%,3689580,741989
北师大实验小学,29.7%,4728234,1405055,29.9%,3819642,1140164,30.0%,4442231,1333354
北航实验学校小学部,31.0%,5528380,1712050,29.9%,4347635,1298492,30.2%,5163951,1557917
和平小学,36.9%,3019569,1115697,52.0%,3204661,1667381,50.1%,3739423,1871751
和平小学杨家庄校区,25.7%,2004984,514625,16.4%,2706859,443896,17.8%,3140730,559500
海淀区七一小学,23.9%,2811898,672867,34.8%,3012006,1049153,33.0%,3689352,1216592
海淀区万泉小学（曙光分校）,33.4%,3384082,1129096,38.3%,4012945,1534982,37.8%,4604102,1740813
海淀区上地实验小学树村校区,31.9%,3334493,1062522,33.3%,3344231,1112637,33.3%,3935743,1308987
